Player,Run Value,Run Value - Normalized,Standardized Runs
Imam-ul-Haq,13.636207983999999,68.18103991999999,-0.07514379237213659
Hassan Ali,6.482352874666667,32.411764373333334,-0.24318513565408337
Mohammad Ilyas,15.598933333333335,77.99466666666667,-0.029040118317401928
Mohammad Wasim,6.664486720000001,33.322433600000004,-0.2389068807049456
Rizwan Hussain,7.91939408,39.5969704,-0.20942958276614893
Saad Nasim,15.277337333333335,76.38668666666668,-0.036594286385971744
Jahandad Khan,13.195779520000002,65.97889760000001,-0.08548928995058291
Mohammad Taha,10.989896704000001,54.94948352,-0.13730464067520043
Ashir Mehmood,17.4756,87.378,0.015042069920892999
Junaid Ali,16.8017168,84.008584,-0.0007871908640223746
Bismillah Khan,6.746656106666667,33.733280533333335,-0.23697675297645615
Afaq Ahmed,10.405604226666664,52.02802113333332,-0.15102944936367
