Player ID,Player Name,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
9,Hussain Talat  Champions one,Champions T20 cup 2024,2,1,1,4,216,3,120,181,10,115,101,50,4,YES,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,4,1,1,3,162,5,120,150,7,120,51,36,5,NO,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,7,2,1,2,167,5,120,170,6,120,9,7,5,YES,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,9,1,1,5,190,4,120,185,9,120,57,34,4,NO,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,11,2,1,4,170,4,120,168,7,120,32,25,4,YES,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,14,1,1,3,168,10,120,169,7,114,43,29,6,YES,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,17,1,1,2,147,9,120,118,10,111,6,8,6,YES,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,20,2,1,5,133,4,84,131,10,120,11,9,5,YES,,12,16,3,0,"8,10,11",
9,Hussain Talat  Champions one,Champions T20 cup 2024,22,1,1,2,199,5,120,124,10,115,9,9,4,YES,,1,0,1,0,10,
9,Hussain Talat  Champions one,National T-20 2025,6,2,1,4,98,1,58,97,10,110,,,,,,18,19,1,0,7,
9,Hussain Talat  Champions one,National T-20 2025,13,2,1,1,134,10,113,171,5,120,3,10,4,YES,,,,,,,
9,Hussain Talat  Champions one,National T-20 2025,24,2,1,5,102,2,84,100,8,120,,,,,,18,16,2,0,"6,7",
9,Hussain Talat  Champions one,National T-20 2025,31,2,1,3,119,3,103,118,9,120,,,,,,18,14,4,0,"3,5,6,8",
9,Hussain Talat  Champions one,National T-20 2025,36,1,1,4,184,10,120,151,10,113,12,10,6,YES,,18,25,2,0,"8,9",
9,Hussain Talat  Champions one,National T-20 2025,38,1,1,4,166,4,120,161,7,120,5,10,4,YES,,12,31,0,0,,
9,Hussain Talat  Champions one,National T-20 2025,39,2,1,2,110,9,120,111,1,96,,,,,,24,21,0,0,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,2,1,1,4,216,3,120,181,10,115,101,50,4,YES,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,4,1,1,3,162,5,120,150,7,120,51,36,5,NO,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,7,2,1,2,167,5,120,170,6,120,9,7,5,YES,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,9,1,1,5,190,4,120,185,9,120,57,34,4,NO,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,11,2,1,4,170,4,120,168,7,120,32,25,4,YES,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,14,1,1,3,168,10,120,169,7,114,43,29,6,YES,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,17,1,1,2,147,9,120,118,10,111,6,8,6,YES,,,,,,,
9,Hussain Talat  Champions one,Champions T20 cup 2024,20,2,1,5,133,4,84,131,10,120,11,9,5,YES,,12,16,3,0,"8,10,11",
9,Hussain Talat  Champions one,Champions T20 cup 2024,22,1,1,2,199,5,120,124,10,115,9,9,4,YES,,1,0,1,0,10,
10,Taimoor khan  Champions,National T-20 2025,5,1,3,2,104,10,111,105,7,79,23,15,5,YES,,,,,,,
10,Taimoor khan  Champions,National T-20 2025,15,2,3,1,183,10,116,207,3,120,15,9,6,YES,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,2,1,1,4,216,3,120,181,10,115,3,2,5,YES,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,7,2,1,2,167,5,120,170,6,120,14,6,7,NO,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,9,1,1,5,190,4,120,185,9,120,,,,,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,11,2,1,4,170,4,120,168,7,120,,,,,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,14,1,1,3,168,10,120,169,7,114,3,4,7,YES,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,17,1,1,2,147,9,120,118,10,111,20,18,7,YES,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,20,2,1,5,133,4,84,131,10,120,4,3,6,NO,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
10,Taimoor khan  Champions,National T-20 2025,5,1,3,2,104,10,111,105,7,79,23,15,5,YES,,,,,,,
10,Taimoor khan  Champions,National T-20 2025,15,2,3,1,183,10,116,207,3,120,15,9,6,YES,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,2,1,1,4,216,3,120,181,10,115,3,2,5,YES,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,7,2,1,2,167,5,120,170,6,120,14,6,7,NO,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,9,1,1,5,190,4,120,185,9,120,,,,,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,11,2,1,4,170,4,120,168,7,120,,,,,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,14,1,1,3,168,10,120,169,7,114,3,4,7,YES,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,17,1,1,2,147,9,120,118,10,111,20,18,7,YES,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,20,2,1,5,133,4,84,131,10,120,4,3,6,NO,,,,,,,
10,Taimoor khan  Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
11,Ubaid Shah,National T-20 2025,35,1,7,2,181,3,120,182,2,112,,,,,,22,57,1,0,3,
11,Ubaid Shah,National T-20 2025,12,1,7,18,215,4,120,81,10,107,,,,,,12,12,1,0,3,
11,Ubaid Shah,National T-20 2025,28,2,7,17,88,0,53,86,8,120,,,,,,24,8,1,0,5,
11,Ubaid Shah,National T-20 2025,29,1,7,9,146,9,120,138,9,120,2,11,10,YES,,24,27,3,0,"1,5,6",
11,Ubaid Shah,National T-20 2025,33,1,7,4,130,5,120,131,4,107,,,,,,18,25,1,0,5,
11,Ubaid Shah,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
11,Ubaid Shah,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
11,Ubaid Shah,Champions T20 cup 2024,7,2,1,2,167,5,120,170,6,120,4,4,8,NO,,24,42,0,0,,
11,Ubaid Shah,Champions T20 cup 2024,9,1,1,5,190,4,120,185,9,120,,,,,,24,37,1,0,10,
11,Ubaid Shah,Champions T20 cup 2024,11,2,1,4,170,4,120,168,7,120,,,,,,24,38,0,0,,
11,Ubaid Shah,Champions T20 cup 2024,14,1,1,3,168,10,120,169,7,114,17,6,8,YES,,18,27,0,0,,
11,Ubaid Shah,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
11,Ubaid Shah,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
