Sr.,Player,Runs,Ave,FC VALUE,FC_NORMALIZED,FC_PERCENTILE,FC_STANDARDIZED,FC_STANDARDIZED_SHIFTED,AVG,STDEV,SHIFT
267,Israr Hussain,9,9,0.27,0.54,0.142,-0.5462600863,0.05809678495,,,
268,Mohammad Taha,7,3.5,0.08,0.1633333333,0.084,-0.5484609714,0.05589589985,,,
269,Tariq Jameel,7,3.5,0.08,0.1633333333,0.084,-0.5484609714,0.05589589985,,,
270,Hasan Liaquat,7,3.5,0.08,0.1633333333,0.084,-0.5484609714,0.05589589985,,,
271,Haris Rauf,6,6,0.12,0.24,0.095,-0.5480130037,0.05634386762,,,
272,Shiraz Khan,6,6,0.12,0.24,0.095,-0.5480130037,0.05634386762,,,
273,Aimal Khan,6,2,0.04,0.08,0.071,-0.5489478929,0.05540897837,,,
274,Ahmed Khan,6,3,0.06,0.12,0.081,-0.5487141706,0.05564270068,,,
275,Syed Tayyab Hussain,5,2.5,0.04,0.08333333333,0.074,-0.548928416,0.05542845523,,,
276,Maqbool Ahmed,4,2,0.03,0.05333333333,0.057,-0.5491037078,0.0552531635,,,
277,Majid Ali,4,4,0.05,0.1066666667,0.078,-0.548792078,0.05556479325,,,
278,Asif Ali,4,2,0.03,0.05333333333,0.057,-0.5491037078,0.0552531635,,,
279,Junaid Khan,3,3,0.03,0.06,0.064,-0.5490647541,0.05529211722,,,
280,Ahad Malik,3,3,0.03,0.06,0.064,-0.5490647541,0.05529211722,,,
281,Asad Raza,2,2,0.01,0.02666666667,0.054,-0.5492595227,0.05509734863,,,
282,Afaq Afridi,2,1,0.01,0.01333333333,0.047,-0.5493374301,0.05501944119,,,
283,Mohammad Arif,2,1,0.01,0.01333333333,0.047,-0.5493374301,0.05501944119,,,
284,Raza-ul-Hasan,1,0.16,0.00,0.001066666667,0.034,-0.5494091049,0.05494776635,,,
285,Anwar Ali,1,0.5,0.00,0.003333333333,0.037,-0.5493958607,0.05496101061,,,
286,Asadullah,1,1,0.00,0.006666666667,0.044,-0.5493763838,0.05498048747,,,
287,Farhan Sarfraz,1,0.5,0.00,0.003333333333,0.037,-0.5493958607,0.05496101061,,,
288,Munir Riaz,0,,0.00,0,0.003,-0.5494153375,0.05494153375,,,
289,Adeel-ur-Rehman,0,0,0.00,0,0.003,-0.5494153375,0.05494153375,,,
290,Ali Manzoor,0,0,0.00,0,0.003,-0.5494153375,0.05494153375,,,
291,Mohammad Waheed,0,0,0.00,0,0.003,-0.5494153375,0.05494153375,,,
292,Najeeb Ullah,0,,0.00,0,0.003,-0.5494153375,0.05494153375,,,
293,Shahid Aziz,0,,0.00,0,0.003,-0.5494153375,0.05494153375,,,
294,Mohammad Farooq,0,,0.00,0,0.003,-0.5494153375,0.05494153375,,,
295,Kashif Noor,0,,0.00,0,0.003,-0.5494153375,0.05494153375,,,
