Player ID,Player Name,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,5
427,Salman Ali Agha,Champions One Day Cup 2024,6,1,2,5,284,9,300,192,10,263,49,47,5,YES,,60,34,3,2,"1,4,5",
427,Salman Ali Agha,Champions One Day Cup 2024,8,2,2,4,332,9,300,367,6,300,69,39,7,YES,,18,16,0,0,0,
427,Salman Ali Agha,Champions One Day Cup 2024,11,1,2,1,137,10,216,143,3,142,52,81,5,YES,,54,28,1,3,3,
428,Iftikhar Ahmed Champions,Champions T20 cup 2024,1,2,2,3,154,6,114,150,7,120,42,34,5,NO,,,,,,,
428,Iftikhar Ahmed Champions,Champions T20 cup 2024,5,2,2,5,132,8,113,128,9,120,5,13,5,YES,,,,,,,
428,Iftikhar Ahmed Champions,Champions T20 cup 2024,7,1,2,1,170,6,120,167,6,120,5,7,4,YES,,2,13,0,0,0,
428,Iftikhar Ahmed Champions,Champions T20 cup 2024,10,1,2,4,163,8,120,169,4,113,2,10,5,YES,,3,9,0,0,0,
428,Iftikhar Ahmed Champions,Champions T20 cup 2024,12,2,2,3,189,7,120,187,7,120,66,31,4,YES,,3,25,0,0,0,
428,Iftikhar Ahmed Champions,Champions T20 cup 2024,15,2,2,5,140,2,85,139,8,120,13,6,4,NO,,,,,,,
428,Iftikhar Ahmed Champions,Champions T20 cup 2024,17,2,2,1,118,10,111,147,9,120,0,5,4,YES,,4,33,1,0,2,
428,Iftikhar Ahmed Champions,Champions T20 cup 2024,19,2,2,4,160,4,81,155,6,120,0,3,5,YES,,4,18,0,0,0,
428,Iftikhar Ahmed Champions,Champions T20 cup 2024,21,1,2,3,180,6,120,151,9,120,14,17,5,YES,,3,21,0,0,0,
428,Iftikhar Ahmed Champions,Champions T20 cup 2024,22,2,2,1,124,10,115,199,5,120,22,21,5,YES,,,,,,,
428,Iftikhar Ahmed Champions,Champions One Day Cup 2024,1,1,2,1,347,6,300,187,10,209,57,44,6,NO,,18,22,0,1,0,
428,Iftikhar Ahmed Champions,Champions One Day Cup 2024,4,1,2,3,231,10,270,105,10,142,60,66,6,YES,,,,,,,
428,Iftikhar Ahmed Champions,Champions One Day Cup 2024,6,1,2,5,284,9,300,192,10,263,9,6,6,YES,,36,24,1,1,9,
428,Iftikhar Ahmed Champions,Champions One Day Cup 2024,8,2,2,4,332,9,300,367,6,300,25,33,4,YES,,60,64,1,1,3,
428,Iftikhar Ahmed Champions,Champions One Day Cup 2024,11,1,2,1,137,10,216,143,3,142,39,61,6,YES,,6,6,0,0,0,
428,Iftikhar Ahmed Champions,Champions One Day Cup 2024,14,1,2,1,122,10,202,123,5,108,3,14,6,YES,,6,10,0,0,0,
428,Iftikhar Ahmed Champions,TROPHY 2024,9,1,1,4,546,10,128.1,466,10,127.2,107,149,4,Yes,,92,36,2,1,,
428,Iftikhar Ahmed Champions,TROPHY 2024,,2,,,360,3,77,,,,76,73,4,Yes,,,,,,,
428,Iftikhar Ahmed Champions,TROPHY 2024,15,2,1,2,301,10,58.1,279,10,86.5,4,4,4,Yes,,24,14,0,2,,
428,Iftikhar Ahmed Champions,TROPHY 2024,,4,,,321,10,75.4,162,10,64.5,68,116,5,Yes,,36,13,1,0,,
428,Iftikhar Ahmed Champions,TROPHY 2024,21,1,1,6,213,10,62.5,171,10,65.1,23,28,6,Yes,,18,9,0,1,,
428,Iftikhar Ahmed Champions,TROPHY 2024,,2,,,131,1,25.5,,,,,,,,,24,10,0,1,,
428,Iftikhar Ahmed Champions,TROPHY 2024,34,2,1,5,251,10,69.5,292,10,87.3,9,26,5,Yes,,6,1,0,0,,
428,Iftikhar Ahmed Champions,TROPHY 2024,,4,,,,,,233,4,57,,,,,,12,13,0,0,,
428,Iftikhar Ahmed Champions,National T20  2024,3,2,2,1,182,2,18.4,181,3,20,19,12,3,YES,,6,24,0,0,0,
428,Iftikhar Ahmed Champions,National T20  2024,23,2,2,3,167,9,20,183,3,20,25,17,6,YES,,18,26,0,0,0,
428,Iftikhar Ahmed Champions,National T20  2024,26,2,2,5,132,3,13.1,131,9,20,0,1,5,YES,,24,14,1,0,4,
428,Iftikhar Ahmed Champions,National T20  2024,32,1,2,4,239,2,20,113,10,19.3,,,,,,6,17,0,0,0,
